username,display_name,background,points,domain,social_type,social_link,bio,works
yjacobs,Brian Hoffman II,Marketing,2887,[],website,https://baldwin.com/yjacobs,Expert in Marketing with 3 years of experience.,Published 6 papers and worked on 1 major projects in Marketing.
ramosscott,Sean Browning,Paleoclimatology,3593,[],website,https://harrison-jordan.com/ramosscott,Expert in Paleoclimatology with 11 years of experience.,Published 40 papers and worked on 7 major projects in Paleoclimatology.
briley,Meredith Webb,Internet of Things,6694,[],website,https://ramirez.info/briley,Expert in Internet of Things with 19 years of experience.,Published 1 papers and worked on 6 major projects in Internet of Things.
millercraig,Xavier Rogers,Robotics,7989,[],website,https://crawford.biz/millercraig,Expert in Robotics with 5 years of experience.,Published 4 papers and worked on 4 major projects in Robotics.
collinsjames,Joshua Evans,Ethnobotany,5200,[],website,https://holt-scott.net/collinsjames,Expert in Ethnobotany with 5 years of experience.,Published 14 papers and worked on 7 major projects in Ethnobotany.
dhenry,Kenneth Wilson,Marketing,8811,[],website,https://rice.biz/dhenry,Expert in Marketing with 8 years of experience.,Published 46 papers and worked on 3 major projects in Marketing.
janet18,Paul Gonzalez,Ethnobotany,8710,[],website,https://cortez-perez.com/janet18,Expert in Ethnobotany with 7 years of experience.,Published 32 papers and worked on 3 major projects in Ethnobotany.
marythompson,Kristen Jones,Robotics,8991,[],website,https://gibson.biz/marythompson,Expert in Robotics with 16 years of experience.,Published 9 papers and worked on 8 major projects in Robotics.
tfrazier,Andrea Caldwell,Marketing,2913,[],website,https://gordon.org/tfrazier,Expert in Marketing with 16 years of experience.,Published 32 papers and worked on 1 major projects in Marketing.
robert69,Brian Jones,Augmented Reality,6673,[],website,https://thompson-jackson.org/robert69,Expert in Augmented Reality with 8 years of experience.,Published 29 papers and worked on 5 major projects in Augmented Reality.
jacksondavid,Sean Bennett,Glaciology,865,[],website,https://perez-simpson.com/jacksondavid,Expert in Glaciology with 19 years of experience.,Published 37 papers and worked on 1 major projects in Glaciology.
sarahpham,Lisa Spencer,Data Science,8492,[],website,https://ellis-scott.com/sarahpham,Expert in Data Science with 2 years of experience.,Published 47 papers and worked on 5 major projects in Data Science.
kim50,Kaitlin Garcia,Journalism,4047,[],website,https://bell.info/kim50,Expert in Journalism with 2 years of experience.,Published 11 papers and worked on 2 major projects in Journalism.
henrymartin,Amanda Kennedy,Cognitive Psychology,5093,[],website,https://ramos-cherry.net/henrymartin,Expert in Cognitive Psychology with 17 years of experience.,Published 10 papers and worked on 6 major projects in Cognitive Psychology.
michelle23,Amber Smith,Robotics,4773,[],website,https://henry.com/michelle23,Expert in Robotics with 4 years of experience.,Published 19 papers and worked on 6 major projects in Robotics.
robersonkyle,Jennifer Morales,Human Resources,2126,[],website,https://ayala-fox.com/robersonkyle,Expert in Human Resources with 4 years of experience.,Published 29 papers and worked on 6 major projects in Human Resources.
becky99,James Turner,Nanotechnology,9816,[],website,https://good.net/becky99,Expert in Nanotechnology with 10 years of experience.,Published 31 papers and worked on 7 major projects in Nanotechnology.
aliciawoods,Sarah Martin,Synthetic Biology,8374,[],website,https://warner.com/aliciawoods,Expert in Synthetic Biology with 4 years of experience.,Published 31 papers and worked on 6 major projects in Synthetic Biology.
sibarra,Tony Best,Urban Planning,960,[],website,https://sanchez.org/sibarra,Expert in Urban Planning with 8 years of experience.,Published 33 papers and worked on 3 major projects in Urban Planning.
billypennington,Pedro Browning,Nanotechnology,418,[],website,https://becker.org/billypennington,Expert in Nanotechnology with 14 years of experience.,Published 7 papers and worked on 10 major projects in Nanotechnology.
gina01,Keith Mendoza,Paleoclimatology,4084,[],website,https://english.com/gina01,Expert in Paleoclimatology with 4 years of experience.,Published 4 papers and worked on 8 major projects in Paleoclimatology.
wwhite,Lynn Armstrong,Data Science,7866,[],website,https://spears.com/wwhite,Expert in Data Science with 19 years of experience.,Published 37 papers and worked on 8 major projects in Data Science.
julie59,Keith Bond,Robotics,6039,[],website,https://mueller.com/julie59,Expert in Robotics with 12 years of experience.,Published 46 papers and worked on 3 major projects in Robotics.
brendaayala,James Hernandez,Graphic Design,1432,[],website,https://parker.org/brendaayala,Expert in Graphic Design with 1 years of experience.,Published 49 papers and worked on 8 major projects in Graphic Design.
rodriguezmichael,Aaron Edwards,Marine Archaeology,3335,[],website,https://riddle-gallegos.com/rodriguezmichael,Expert in Marine Archaeology with 11 years of experience.,Published 16 papers and worked on 8 major projects in Marine Archaeology.
longwilliam,Andrew Ho,Finance,7386,[],website,https://knox.com/longwilliam,Expert in Finance with 19 years of experience.,Published 42 papers and worked on 1 major projects in Finance.
franklinandre,Amanda Walker,Marine Archaeology,493,[],website,https://clark.com/franklinandre,Expert in Marine Archaeology with 13 years of experience.,Published 42 papers and worked on 1 major projects in Marine Archaeology.
john78,Douglas Perry,Internet of Things,9545,[],website,https://garcia-baker.org/john78,Expert in Internet of Things with 19 years of experience.,Published 8 papers and worked on 2 major projects in Internet of Things.
ethanrobbins,Bobby Williams,Glaciology,4200,[],website,https://davis.biz/ethanrobbins,Expert in Glaciology with 6 years of experience.,Published 21 papers and worked on 9 major projects in Glaciology.
garrett34,Daniel Sanchez,Urban Planning,3499,[],website,https://pope-miller.org/garrett34,Expert in Urban Planning with 6 years of experience.,Published 46 papers and worked on 1 major projects in Urban Planning.
thomasrachel,Stephanie Henson,Biomimicry,9069,[],website,https://gardner-dean.com/thomasrachel,Expert in Biomimicry with 8 years of experience.,Published 24 papers and worked on 10 major projects in Biomimicry.
